block_geoid,pop
360050093011003,27
360050093012000,603
360050093012002,391
360050093013000,773
360050093013001,741
360050093013002,36
360050093013003,76
360050093014000,0
360050093014001,0
360050093014002,0
360050093014004,0
360050093014005,0
360050093014007,0
360050093014008,0
360050093014009,0
360050093014010,166
360050093014011,962
360050093015002,0
360050093015003,0
360050093015004,0
360050093015005,0
360050093015006,0
360050093015009,0
360050093015011,57
360050093015012,0
360050093015013,0
360050093016002,0
360050093015010,27
360050093016003,38
360050093016004,35
360050093016005,38
360050093016006,29
360050093016007,0
360050093016008,0
360050093021001,0
360050093021005,0
360050093022011,0
360050093022012,0
360050093022016,0
360050093022020,0
360050093022023,6
360050093022024,0
360050093022025,0
360050093020001,0
360050093021011,3
360050093021013,0
360050093021012,10
360050093021014,0
360050093021015,0
360050093021016,0
360050093021017,0
360050093021018,0
360050093021019,0
360050093021020,0
360050093021021,0
360050093021022,0
360050093021023,0
360050093021025,0
360050093021026,0
360050093021027,473
360050093022000,0
360050093022001,0
360050093022002,0
360050093022003,0
360050093022004,3
360050093021024,0
360050093022005,0
360050093022006,0
360050093022007,0
360050093022008,0
360050093022010,0
360050093022013,0
360050093022014,0
360050093022015,0
360050093022017,0
360050093022018,0
360050093022019,0
360050093022021,0
360050093022022,0
360050093022009,0
360050093022026,0
360050093022027,0
360050093022028,0
360050093022029,0
360050093022030,0
360050093022031,0
360050093020002,0
360050093021000,0
360050093021002,17
360050093021003,0
360050093021004,0
360050093021006,0
360050093021007,0
360050093021008,0
360050093021009,0
360050093021010,0
360050096002014,0
360050096002009,0
360050096002018,0
360050096001003,318
360050096002001,30
360050096001002,343
360050096002000,33
360050096002003,0
360050096002005,0
360050096002006,0
360050096002007,0
360050096002010,0
360050096002011,0
360050096002012,127
360050096002013,152
360050096002015,0
360050096002016,0
360050096002017,0
360050096002019,0
360050096002020,349
360050096002021,0
360050096002022,178
360050096002023,0
360050096002024,0
360050096002025,0
360050096002008,0
360050096001000,341
360050096001001,395
360050096001004,355
360050096001005,325
360050096001006,0
360050096001007,0
360050096001008,0
360050096002002,0
360050096002004,0
360050098002002,257
360050098003001,0
360050098003005,0
360050098003008,226
360050098003011,191
360050098004002,268
360050098005002,0
360050098003006,305
360050098001000,311
360050098001001,405
360050098001002,227
360050098001003,233
360050098001004,120
360050098002000,307
360050098002001,255
360050098002003,222
360050098003000,0
360050098003002,0
360050098003003,0
360050098003004,0
360050098003007,187
360050098003009,155
360050098003010,63
360050098004000,337
360050098004001,242
360050098005000,0
360050098005001,0
360050098005003,0
360050098005004,0
360050098005005,1592
360050110000001,0
360050110001001,0
360050110001004,0
360050110001007,0
360050110000002,0
360050110001000,0
360050110001002,0
360050110001003,0
360050110001005,0
360050110001006,0
360050110001008,0
360050110001009,0
360050110001010,0
360050110001011,0
360050115021014,604
360050115021017,0
360050115022000,699
360050115023001,0
360050115023004,964
360050115021000,0
360050115021001,0
360050115021002,0
360050115021003,0
360050115021004,0
360050115021005,0
360050115021006,0
360050115021007,25
360050115021008,0
360050115021009,0
360050115021010,0
360050115021011,144
360050115021012,602
360050115021013,515
360050115021015,0
360050115021016,45
360050115021018,0
360050115021019,0
360050115022001,478
360050115022002,290
360050115023000,0
360050115023002,0
360050115023003,30
360050117012000,0
360050117012001,0
360050117012002,0
360050117011000,40
360050117011001,0
360050117011002,384
360050117011003,868
360050117011004,256
360050117012003,0
360050117012004,0
360050117012005,0
360050117012006,0
360050117012007,6
