Borough,ClosureType,EditDate,GISpropNum,OMPpropID,Red Sign Installed,Status,accessibility,accessibilityLevel,location,name,rules,system,Approx Date Closed,Approx Date Reopened,Community Board,District,Latitude,Longitude,Point
R,Completely Locked,06/19/2020 01:55:29 PM,R038,R038,,,,,"Lincoln Ave., Mason Ave., Midland Ave., Poultney St.",Midland Playground,,,03/31/2020,06/19/2020,502,R-02B,40.57490158081055,-74.09880828857422,POINT (-74.09880828857422 40.57490158081055)
R,Completely Locked,06/22/2020 04:48:05 PM,R025,R025,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Beechwood Ave., Crescent Ave. and Jersey St.",Mahoney Playground,Adults Allowed,R025-CPA-0001,03/31/2020,06/22/2020,501,R-01,40.64375686645508,-74.08573150634766,POINT (-74.08573150634766 40.64375686645508)
R,Partially Locked,06/22/2020 02:06:41 PM,R087,R087,,Active,No,Not Applicable,Mason Ave. bet. Buel Ave. and Dongan Hills Ave.,Dongan Playground,Adults Allowed,R087-CPA-0001,03/31/2020,06/22/2020,502,R-02,40.583072662353516,-74.0897445678711,POINT (-74.0897445678711 40.583072662353516)
B,Completely Locked,06/22/2020 01:14:38 PM,B234,B234,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Tilden Ave. between E. 48 St. and E. 49 St.,Tilden Playground,Adults Allowed,B234-CPA-0001,03/31/2020,06/22/2020,317,B-17,40.64775466918945,-73.93120574951172,POINT (-73.93120574951172 40.64775466918945)
Q,Partially Locked,06/19/2020 01:55:05 PM,Q300A1,Q300A1,,Active,No,Not Applicable,Peck Ave. bet. 61 Rd. and 67 Ave.,Holy Cow Playground,Adults Allowed,Q300A1-CPA-0001,03/31/2020,06/19/2020,408,Q-08,40.741188049316406,-73.77622985839844,POINT (-73.77622985839844 40.741188049316406)
M,Completely Locked,06/22/2020 01:08:38 PM,M214,M214,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,E. 102 St. To E. 104 St. and 2 Ave.,Blake Hobbs Playground,Adults Allowed,M214-CPA-0001,03/31/2020,06/21/2020,111,M-11,40.78890609741211,-73.94408416748047,POINT (-73.94408416748047 40.78890609741211)
M,Completely Locked,06/22/2020 12:52:25 PM,M014,M014-02,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,W 152 St & Bradhurst Ave,Plgd One Fifty Two CLII,Adults Allowed,M014-CPA-0001,03/31/2020,06/21/2020,110,M-10,40.82819747924805,-73.93972778320312,POINT (-73.93972778320312 40.82819747924805)
M,Partially Locked,06/22/2020 10:50:18 AM,M077,M077-02,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,W 133 St & St Nicholas Ave,St Nicholas,Adults Allowed,M077-CPA-0001,03/31/2020,06/21/2020,109,M-09,40.815345764160156,-73.94916534423828,POINT (-73.94916534423828 40.815345764160156)
Q,Partially Locked,06/19/2020 01:38:11 PM,Q303,Q303,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,34 Ave. bet. 77 St. and 78 St.,Travers Park,Adults Allowed,Q303-CPA-0001,03/31/2020,06/19/2020,403,Q-03,40.754295349121094,-73.88925170898438,POINT (-73.88925170898438 40.754295349121094)
B,Partially Locked,06/24/2020 10:45:46 AM,B271,B271,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Ditmas Ave. bet. E. 92 St. and E. 91 St.,Railroad Playground,Adults Allowed,B271-CPA-0001,03/31/2020,06/23/2020,317,B-17,40.649044036865234,-73.91388702392578,POINT (-73.91388702392578 40.649044036865234)
Q,Partially Locked,06/22/2020 01:16:34 PM,Q337,Q337,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,106 St. bet. Atlantic Ave. and 94 Ave.,Maurice A FitzGerald Playground,Adults Allowed,Q337-CPA-0001,03/31/2020,06/21/2020,409,Q-09,40.690467834472656,-73.83944702148438,POINT (-73.83944702148438 40.690467834472656)
B,Completely Locked,06/22/2020 01:43:06 PM,B329,B329-01,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"Mill & Strickland Aves, 60 St",Lindower Park Playground,Adults Allowed,B329-CPA-0001,03/31/2020,06/22/2020,318,B-18,40.612388610839844,-73.91119384765625,POINT (-73.91119384765625 40.612388610839844)
M,Completely Locked,06/22/2020 05:23:58 PM,M294,M294,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Second Ave. bet. E. 90 St. and E. 91 St.,Ruppert Park,Adults not allowed in some locations,M294-CPA-0001,03/31/2020,06/21/2020,108,M-08,40.78097152709961,-73.95035552978516,POINT (-73.95035552978516 40.78097152709961)
X,Completely Locked,06/22/2020 10:17:42 AM,X017,X017-02,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"E 178 St & Ryer Ave, Upper Level",Richman (Echo) Park Upper,Adults Allowed,X017-CPA-0001,03/31/2020,,205,X-05,40.849586486816406,-73.90190887451172,POINT (-73.90190887451172 40.849586486816406)
B,Completely Locked,06/22/2020 01:07:45 PM,B153,B153,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Howard Ave. bet. Pacific St. and Dean St.,South Pacific Playground,Adults Allowed,B153-CPA-0001,03/31/2020,06/21/2020,316,B-16,40.675655364990234,-73.92019653320312,POINT (-73.92019653320312 40.675655364990234)
B,Completely Locked,06/22/2020 11:21:05 AM,B309,B309,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Stanley Ave. and Eldert La.,Pink Playground,Adults Allowed,B309-CPA-0001,03/31/2020,06/20/2020,305,B-05,40.66666030883789,-73.86238861083984,POINT (-73.86238861083984 40.66666030883789)
B,Completely Locked,06/22/2020 03:11:27 PM,B167,B167,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,S. 4 St. bet. Roebling St. and Williamsburg Bridge Ramp,La Guardia Playground,Adults Allowed,B167-CPA-0001,03/31/2020,06/21/2020,301,B-01,40.7104377746582,-73.9596176147461,POINT (-73.9596176147461 40.7104377746582)
Q,Completely Locked,06/19/2020 10:58:57 AM,Q015,Q015-07,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Union Tpke & 71 Ave,Joseph Devoy Playground,Unknown,Q015-CPA-0004,03/31/2020,06/19/2020,482,Q-16,40.707557678222656,-73.8514404296875,POINT (-73.8514404296875 40.707557678222656)
X,Partially Locked,06/22/2020 11:16:43 AM,X165,X165,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Schieffelin Ave. bet. E. 266 Dr. and E. 229 St.,Edenwald Playground,Adults Allowed,X165-CPA-0001,03/31/2020,06/21/2020,212,X-12,40.88393020629883,-73.84517669677734,POINT (-73.84517669677734 40.88393020629883)
X,Completely Locked,06/22/2020 10:29:02 AM,X300,X300,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,W. 180 St. bet. Davidson Ave. and Grand,Davidson Playground,Unknown,X300-CPA-0001,03/31/2020,06/21/2020,205,X-05,40.85511016845703,-73.90766906738281,POINT (-73.90766906738281 40.85511016845703)
M,Completely Locked,06/22/2020 04:15:19 PM,M052,M052-02,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,E 25 St & Madison Ave,Madison Square Park,Adults not allowed in some locations,M052-CPA-0001,03/31/2020,06/21/2020,105,M-05,40.742576599121094,-73.98733520507812,POINT (-73.98733520507812 40.742576599121094)
Q,Partially Locked,06/21/2020 01:11:01 PM,Q126,Q126-01,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"3 Ave, Whitestone Bridge Approach",Francis Lewis Playground,Unknown,Q126-CPA-0001,03/31/2020,06/21/2020,407,Q-07,40.796478271484375,-73.8246078491211,POINT (-73.8246078491211 40.796478271484375)
X,Completely Locked,06/22/2020 10:29:37 AM,X001,X001-01,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,W 181 St & Aqueduct Ave,Aqueduct Lands Plgd,Adults not allowed in some locations,X001-CPA-0001,03/31/2020,06/21/2020,205,X-05,40.857452392578125,-73.9088134765625,POINT (-73.9088134765625 40.857452392578125)
X,Completely Locked,07/06/2020 12:48:23 PM,X150E,X150E,,,,,"Landing Rd., Major Deegan Exwy., Bailey",Fordham Landing Playground,,,03/31/2020,07/06/2020,207,X-07,40.86336898803711,-73.9102783203125,POINT (-73.9102783203125 40.86336898803711)
M,Completely Locked,06/22/2020 04:33:05 PM,M056,M056-02,,Active,No,Not Applicable,W 117 St & Morningside Ave,Morningside Plgd,Adults not allowed in some locations,M056-CPA-0005,03/31/2020,06/21/2020,109,M-09,40.806053161621094,-73.95831298828125,POINT (-73.95831298828125 40.806053161621094)
X,Not Lockable,06/22/2020 11:14:29 AM,X196,X196-02,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Ely & Burke Aves,Haffen Park Playground,Adults not allowed in some locations,X196-CPA-0001,03/31/2020,06/21/2020,212,X-12,40.87337112426758,-73.83888244628906,POINT (-73.83888244628906 40.87337112426758)
X,Not Lockable,06/22/2020 10:09:09 AM,X010,X010-03,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"Crotona N Bet Waterloo, Marmion",Crotona Playground (3),Adults not allowed in some locations,X010-CPA-0003,03/31/2020,06/21/2020,203,X-03,40.83912658691406,-73.88919067382812,POINT (-73.88919067382812 40.83912658691406)
X,Completely Locked,06/22/2020 10:01:31 AM,X147B,X147B,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Boone Av bet. W Farms Rd and Freeman St,Daniel Boone Playground,Adults Allowed,X147B-CPA-0001,03/31/2020,06/21/2020,203,X-03,40.829647064208984,-73.8860092163086,POINT (-73.8860092163086 40.829647064208984)
M,Completely Locked,06/23/2020 09:14:46 AM,M283,M283-03,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"River Terr, Murray St",Nelson Rockefeller Park Playground South,Unknown,M283-CPA-0002,03/31/2020,06/22/2020,101,M-01,40.715919494628906,-74.01673126220703,POINT (-74.01673126220703 40.715919494628906)
Q,Partially Locked,06/22/2020 01:06:01 PM,Q221,Q221,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,73 Ave. bet. 195 St. and 196 Pl.,Farm Playground,Adults Allowed,Q221-CPA-0001,03/31/2020,06/21/2020,408,Q-08,40.73576736450195,-73.77700805664062,POINT (-73.77700805664062 40.73576736450195)
M,Partially Locked,07/07/2020 02:55:39 PM,M200,M200,Yes,,,,,Booker T. Washington Playground,,,03/31/2020,07/06/2020,107,M-07,40.8011474609375,-73.96399688720703,POINT (-73.96399688720703 40.8011474609375)
R,Completely Locked,06/22/2020 04:50:02 PM,R037,R037,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Winter Ave., bet. Bismark Ave. and Westervelt Ave.",Liotti Ikefugi Playground,Adults Allowed,R037-CPA-0001,03/31/2020,06/22/2020,501,R-01,40.63880920410156,-74.08403015136719,POINT (-74.08403015136719 40.63880920410156)
B,Completely Locked,06/22/2020 01:08:55 PM,B219,B219,,Active,No,Not Applicable,"Fulton St., Truxton St., bet. Eastern Pkwy. and Van Sinderen Ave.",Callahan-Kelly Playground,Adults Allowed,B219-CPA-0002,03/31/2020,06/21/2020,316,B-16,40.67838668823242,-73.90583038330078,POINT (-73.90583038330078 40.67838668823242)
M,Partially Locked,06/22/2020 01:07:17 PM,M111,M111,,Active,Yes,Level 1: Playgrounds for All Children,E. 115 St. bet. 3 Ave. and Lexington Ave.,James Weldon Johnson Playground,Adults Allowed,M111-CPA-0001,03/31/2020,06/21/2020,111,M-11,40.79728317260742,-73.9422607421875,POINT (-73.9422607421875 40.79728317260742)
Q,Completely Locked,06/21/2020 06:55:59 PM,Q377,Q377,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Yellowstone Bl bet. 62 Av and 62 Rd,Playground Sixty Two LXII,Adults Allowed,Q377-CPA-0001,03/31/2020,06/21/2020,406,Q-06,40.7362060546875,-73.8524398803711,POINT (-73.8524398803711 40.7362060546875)
B,Not Lockable,06/22/2020 03:35:31 PM,B364,B364,,Active,No,Not Applicable,"Bergen St., Utica Ave., Rochester Ave., St Mark's Ave.",Woods Playground,Adults Allowed,B364-CPA-0001,03/31/2020,06/22/2020,308,B-08,40.67466735839844,-73.92914581298828,POINT (-73.92914581298828 40.67466735839844)
B,Completely Locked,06/23/2020 10:01:04 AM,B093,B093,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Howard Ave. bet. Atlantic Ave. and  Herkimer St.,Weeksville Playground,Adults not allowed in some locations,B093-CPA-0001,03/31/2020,06/22/2020,303,B-03,40.67717742919922,-73.91952514648438,POINT (-73.91952514648438 40.67717742919922)
Q,Partially Locked,06/19/2020 01:57:30 PM,Q320,Q320,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"70 Rd., 71 Ave. bet. 150 St. and Kissena Blvd.",Vleigh Playground,Adults Allowed,Q320-CPA-0001,03/31/2020,06/19/2020,408,Q-08,40.729774475097656,-73.81600952148438,POINT (-73.81600952148438 40.729774475097656)
X,Completely Locked,06/22/2020 10:23:17 AM,X102,X102,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,E 188 St bet. Arthur Av and Hughes Av,Ciccarone Park,Adults Allowed,X102-CPA-0001,03/31/2020,06/21/2020,206,X-06,40.85581970214844,-73.88662719726562,POINT (-73.88662719726562 40.85581970214844)
Q,Completely Locked,06/22/2020 01:31:46 PM,Q385,Q385,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Steinway St. bet. 23 Ave. and Ditmars Blvd.,Ditmars Playground,Adults Allowed,Q385-CPA-0001,03/31/2020,06/22/2020,401,Q-01,40.7713737487793,-73.90743255615234,POINT (-73.90743255615234 40.7713737487793)
R,Not Lockable,06/22/2020 10:59:34 AM,R006,R006-01,,,,,,Lenape Playground,,,03/31/2020,06/22/2020,503,R-03,40.499298095703125,-74.24482727050781,POINT (-74.24482727050781 40.499298095703125)
B,Completely Locked,06/22/2020 03:21:57 PM,B286,B286,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Whipple St., Bartlett St., between Throop Ave. and Flushing Ave.",Bartlett Playground,Adults Allowed,B286-CPA-0001,03/31/2020,06/21/2020,301,B-01,40.70075607299805,-73.94622039794922,POINT (-73.94622039794922 40.70075607299805)
B,Completely Locked,06/24/2020 09:40:34 AM,B395,B395,,Active,No,Not Applicable,"Flushing Ave., Central Ave., Noll St., Evergreen Ave.",Green Central Knoll,Adults Allowed,B395-CPA-0001,03/31/2020,06/23/2020,304,B-04,40.702491760253906,-73.93321228027344,POINT (-73.93321228027344 40.702491760253906)
X,Partially Locked,06/22/2020 11:12:54 AM,X187,X187-01,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"E Gun Hill & Eastchester Rds, Arnow Ave, O'Neill Pl",Angelo Campanaro Plgd,Adults Allowed,X187-CPA-0001,03/31/2020,06/21/2020,211,X-12,40.86800765991211,-73.84210205078125,POINT (-73.84210205078125 40.86800765991211)
Q,Partially Locked,06/22/2020 04:52:54 PM,Q005,Q005-05,,Active,No,Not Applicable,157 St & 116 Ave,157 St Playground,Unknown,Q005-CPA-0003,03/31/2020,,412,Q-12,40.684783935546875,-73.78640747070312,POINT (-73.78640747070312 40.684783935546875)
X,Not Lockable,06/22/2020 09:39:52 AM,X047,X047-01,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"E 153 St, Walton Ave & Gerard Ave",Franz Sigel Park Playground,Adults not allowed in some locations,X047-CPA-0001,03/31/2020,06/21/2020,204,X-04,40.82252502441406,-73.92736053466797,POINT (-73.92736053466797 40.82252502441406)
M,Partially Locked,06/22/2020 10:43:20 AM,M223,M223,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Amsterdam Ave. bet. W. 136 St. and W. 138 St.,Jacob H. Schiff Playground,Adults Allowed,M223-CPA-0001,03/31/2020,06/21/2020,109,M-09,40.820030212402344,-73.95223999023438,POINT (-73.95223999023438 40.820030212402344)
B,Completely Locked,06/22/2020 04:20:06 PM,B210A,B210A,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,3 Ave. bet. 64 St. and 65 St.,John Allen Payne Playground,Unknown,B210A-CPA-0001,03/31/2020,06/22/2020,307,B-07,40.63987731933594,-74.023681640625,POINT (-74.023681640625 40.63987731933594)
R,Completely Locked,06/22/2020 05:17:29 PM,R061,R061,,Active,No,Not Applicable,"Tompkins Ave., Broad St. and Hill St.",Stapleton Playground,Unknown,R061-CPA-0001,03/31/2020,,501,R-01,40.62272262573242,-74.07923126220703,POINT (-74.07923126220703 40.62272262573242)
M,Completely Locked,06/22/2020 12:57:00 PM,M110,M110,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"W. 138 St., bet. Lenox Ave. and 5 Ave.",William McCray Playground,Adults Allowed,M110-CPA-0001,03/31/2020,06/21/2020,110,M-10,40.815486907958984,-73.93755340576172,POINT (-73.93755340576172 40.815486907958984)
B,Completely Locked,06/22/2020 03:23:39 PM,B132,B132,,Active,No,Not Applicable,Mc Kibbin St. bet. White St. and Bogart St.,Gilbert Ramirez Park,Adults Allowed,B132-CPA-0001,03/31/2020,06/21/2020,301,B-01,40.70591354370117,-73.93478393554688,POINT (-73.93478393554688 40.70591354370117)
B,Completely Locked,06/22/2020 04:20:06 PM,B210B,B210B,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,3 Ave. bet. 35 St. and 34 St.,D'Emic Playground,Adults Allowed,B210B-CPA-0001,03/31/2020,06/22/2020,307,B-07,40.6561393737793,-74.00502014160156,POINT (-74.00502014160156 40.6561393737793)
Q,Completely Locked,06/23/2020 11:07:14 AM,Q349,Q349,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,75 Ave. bet. Bell Blvd. and 217 St.,Telephone Playground,Adults Allowed,Q349-CPA-0001,03/31/2020,06/23/2020,411,Q-11,40.738643646240234,-73.7564926147461,POINT (-73.7564926147461 40.738643646240234)
B,Completely Locked,06/22/2020 03:07:25 PM,B096,B096,,,,,Vandervoort Ave. bet. Cherry St. and Anthony St.,Sgt. William Dougherty Playground,,,03/31/2020,06/21/2020,301,B-01,40.723636627197266,-73.9370346069336,POINT (-73.9370346069336 40.723636627197266)
M,Completely Locked,06/19/2020 10:06:13 AM,M144,M144-01,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,E 11 St & East River Dr,East River Playground,Unknown,M144-CPA-0001,03/31/2020,06/19/2020,103,M-03,40.72427749633789,-73.97265625,POINT (-73.97265625 40.72427749633789)
X,Completely Locked,06/22/2020 09:56:21 AM,X233,X233,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Union Av bet. E 150 St and  e 152 St,Fountain Of Youth Playground,Adults Allowed,X233-CPA-0001,03/31/2020,06/21/2020,201,X-01,40.81376647949219,-73.90526580810547,POINT (-73.90526580810547 40.81376647949219)
B,Completely Locked,06/22/2020 01:08:04 PM,B387,B387,,,,,,Hilltop Playground,,,03/31/2020,06/20/2020,316,B-16,40.67532730102539,-73.91433715820312,POINT (-73.91433715820312 40.67532730102539)
B,Completely Locked,06/22/2020 01:55:05 PM,B315,B315,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Surf Ave. between W. 25 St. and W. 27 St.,Surf Playground,Adults Allowed,B315-CPA-0001,03/31/2020,06/22/2020,313,B-13,40.57358169555664,-73.99248504638672,POINT (-73.99248504638672 40.57358169555664)
M,Completely Locked,06/19/2020 10:11:51 AM,M195,M195,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Lewis St. bet. Delancey St. and Broome St.,Sidney Hillman Playground,Adults Allowed,M195-CPA-0001,03/31/2020,06/19/2020,103,M-03,40.71533966064453,-73.97956848144531,POINT (-73.97956848144531 40.71533966064453)
B,Completely Locked,06/22/2020 04:16:36 PM,B007,B007-01,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Bay Pkwy & Cropsey Avenue,Bensonhurst Park Playground,Unknown,B007-CPA-0001,03/31/2020,,311,B-11,40.596954345703125,-73.99982452392578,POINT (-73.99982452392578 40.596954345703125)
B,Completely Locked,06/22/2020 12:32:10 PM,B345,B345,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Wortman Ave. between Vermont St. and New Jersey Ave.,Ethan Allen Playground,Adults Allowed,B345-CPA-0001,03/31/2020,06/20/2020,305,B-05,40.65585708618164,-73.88682556152344,POINT (-73.88682556152344 40.65585708618164)
X,Completely Locked,06/22/2020 09:42:22 AM,X034,X034-01,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,E 164 St & Jerome Ave,Mullaly Plgd (1),Adults not allowed in some locations,X034-CPA-0001,03/31/2020,06/21/2020,204,X-04,40.83137512207031,-73.92540740966797,POINT (-73.92540740966797 40.83137512207031)
Q,Not Lockable,06/21/2020 04:25:14 PM,Q011,Q011,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"20 Ave., 21 Ave. bet. 123 St. and 124 St.",Poppenhusen Playground,Adults Allowed,Q011-CPA-0001,03/31/2020,06/21/2020,407,Q-07,40.7813720703125,-73.84453582763672,POINT (-73.84453582763672 40.7813720703125)
Q,Completely Locked,06/21/2020 01:04:53 PM,Q024,Q024-05,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Rose & Oak Aves,Playground,Unknown,Q024-CPA-0003,03/31/2020,06/21/2020,407,Q-07,40.749454498291016,-73.80740356445312,POINT (-73.80740356445312 40.749454498291016)
M,Completely Locked,06/22/2020 11:19:07 AM,M010,M010-187,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,91 St & Central Park West,Safari Plgd,Unknown,M010-CPA-0013,03/31/2020,06/21/2020,164,M-13,40.788482666015625,-73.9664306640625,POINT (-73.9664306640625 40.788482666015625)
R,Not Lockable,06/22/2020 02:55:45 PM,R145,R145-01,,,,,,Seaside Wildlife Nature Playground,,,03/31/2020,06/22/2020,503,R-03,40.54153060913086,-74.14271545410156,POINT (-74.14271545410156 40.54153060913086)
B,Completely Locked,06/22/2020 12:35:27 PM,B107,B107,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Riverdale Ave. bet. Van Sinderen Ave. and Snediker Ave.,Lion's Pride Playground,Adults not allowed in some locations,B107-CPA-0001,03/31/2020,06/20/2020,305,B-05,40.66270446777344,-73.89952850341797,POINT (-73.89952850341797 40.66270446777344)
B,Completely Locked,06/23/2020 10:01:04 AM,B266,B266,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Franklin Ave. between Willoughby Ave. and Dekalb Ave.,Star Spangled Playground,Adults Allowed,B266-CPA-0001,03/31/2020,06/22/2020,303,B-03,40.69143295288086,-73.95768737792969,POINT (-73.95768737792969 40.69143295288086)
M,Completely Locked,06/22/2020 11:15:08 AM,M010,M010-103,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,"77 St, W/o 5th Ave",James Michael Levin Plgd,Unknown,M010-CPA-0006,03/31/2020,06/21/2020,164,M-13,40.77582550048828,-73.9652328491211,POINT (-73.9652328491211 40.77582550048828)
B,Completely Locked,06/23/2020 10:08:49 AM,B391,B391,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Argyle Rd. and Cortelyou Rd.,Lt. Federico Narvaez Tot Lot,Adults not allowed in some locations,B391-CPA-0001,03/31/2020,06/22/2020,314,B-14,40.64026641845703,-73.9659194946289,POINT (-73.9659194946289 40.64026641845703)
B,Completely Locked,06/24/2020 09:39:59 AM,B302,B302,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Ellery St. at Delmonico Pl., Hopkinds St. bet. Tompkins Ave. and Throop Ave.",Charlie's Place,Adults Allowed,B302-CPA-0001,03/31/2020,06/23/2020,303,B-03,40.699214935302734,-73.94650268554688,POINT (-73.94650268554688 40.699214935302734)
M,Partially Locked,06/22/2020 10:58:58 AM,M220,M220,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Amsterdam Ave bet. W. 100 St. and W 102 St.,Frederick Douglass Playground,Adults Allowed,M220-CPA-0001,03/31/2020,06/21/2020,107,M-07,40.79677963256836,-73.96797180175781,POINT (-73.96797180175781 40.79677963256836)
B,Completely Locked,06/22/2020 02:30:12 PM,B017,B017,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Knickerbocker Ave. bet. Woodbine St. and Putnam Ave.,Bushwick Playground,Adults not allowed in some locations,B017-CPA-0001,03/31/2020,06/22/2020,304,B-04,40.69611358642578,-73.91161346435547,POINT (-73.91161346435547 40.69611358642578)
X,Completely Locked,06/22/2020 09:39:14 AM,X154,X154,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Courtlandt Av bet. E 154 St and E 155 St,Melrose Playground,Adults Allowed,X154-CPA-0001,03/31/2020,06/21/2020,201,X-01,40.82044219970703,-73.91814422607422,POINT (-73.91814422607422 40.82044219970703)
B,Completely Locked,06/23/2020 10:01:04 AM,B322,B322,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Hart St. to Pulaski St. between Throop Ave. and Marcus Garvey Blvd.,Pulaski Playground,Adults Allowed,B322-CPA-0001,03/31/2020,06/22/2020,303,B-03,40.69346618652344,-73.94212341308594,POINT (-73.94212341308594 40.69346618652344)
B,Completely Locked,06/23/2020 10:01:04 AM,B088,B088-03,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Lafayette Ave Btw Marcy & Tompkins Aves,Herbert Von King Park,Adults not allowed in some locations,B088-CPA-0002,03/31/2020,06/22/2020,303,B-03,40.690128326416016,-73.94644165039062,POINT (-73.94644165039062 40.690128326416016)
M,Partially Locked,06/22/2020 05:21:43 PM,M081,M081-02,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,East 84 St & East End Ave,Catbird Playground,Adults Allowed,M081-CPA-0001,03/31/2020,06/21/2020,108,M-08,40.77398681640625,-73.9447250366211,POINT (-73.9447250366211 40.77398681640625)
B,Completely Locked,06/22/2020 02:59:47 PM,B135,B135,,,,,,Newtown Barge Playground,,,03/31/2020,06/21/2020,301,B-01,40.73591995239258,-73.9609603881836,POINT (-73.9609603881836 40.73591995239258)
Q,Partially Locked,06/19/2020 01:26:09 PM,Q015,Q015-03,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,108 St & Myrtle Ave,Jackson Pond Playground,Unknown,Q015-CPA-0002,03/31/2020,06/19/2020,482,Q-16,40.70096969604492,-73.84271240234375,POINT (-73.84271240234375 40.70096969604492)
